2026-09-10 17:46:31,993 | INFO | hr_assistant.evaluations | Dataset 'hr_assistant_evaluation' already exists, reusing it
2026-09-10 17:46:32,318 | INFO | hr_assistant.vector_store | Loading existing Qdrant Cloud collection: hr_policy_assistant
2026-09-10 17:46:32,318 | INFO | hr_assistant.embeddings | Initializing embeddings model: jina-embeddings-v3
2026-09-10 17:46:33,449 | INFO | httpx | HTTP Request: GET https://7573185c-2a10-4832-8db8-1f63f4996c19.sa-east-1-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-10 17:46:33,450 | INFO | hr_assistant.vector_store | Creating retriever with top 3 results.
2026-09-10 17:46:33,450 | INFO | hr_assistant.agent | Creating agent executor...
2026-09-10 17:46:33,452 | INFO | hr_assistant.llm | Initializing LLM model: via Portkey Gateway
2026-09-10 17:46:33,452 | INFO | hr_assistant.gateway | Creating ChatOpenAI instance with Portkey Gateway routing.
2026-09-10 17:46:33,715 | INFO | hr_assistant.agent | Agent executor created successfully.
2026-09-10 17:46:33,715 | INFO | hr_assistant.llm | Initializing LLM model: via Portkey Gateway
2026-09-10 17:46:33,715 | INFO | hr_assistant.gateway | Creating ChatOpenAI instance with Portkey Gateway routing.
2026-09-10 17:46:36,326 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 17:46:36,334 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 17:46:37,932 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 17:46:38,500 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 17:46:38,503 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 17:46:38,503 | INFO | hr_assistant.tools | Searching HR policy for: reimbursement claims submission deadline days
2026-09-10 17:46:40,418 | INFO | httpx | HTTP Request: POST https://7573185c-2a10-4832-8db8-1f63f4996c19.sa-east-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_assistant/points/search "HTTP/1.1 200 OK"
2026-09-10 17:46:40,420 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-10 17:46:41,020 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 17:46:41,298 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 17:46:41,300 | INFO | hr_assistant.guardrails | Output guard decision: True
2026-09-10 17:46:43,025 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 17:46:43,588 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 17:46:43,915 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-10 17:46:43,918 | INFO | hr_assistant.guardrails | Input guard decision: True
2026-09-10 17:46:44,508 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
